Model,Age,Job,Loan,Contact,PurchaseDate,PurchasePrice,Color,Accessories,MarketingChannel,PaymentMethod,Gender
Destini,52,Student,TRUE,(939)-809-1795,24-09-2022,74624,Red,None,Event,Credit,Female
Xpulse 200T,41,Teacher,TRUE,(202)-627-7738,24-03-2023,71028,White,Handlebar Grips,Event,Cash,Other
Passion Pro 125,31,Manager,TRUE,(344)-866-9074,04-09-2021,64751,White,Windshield,Online,Credit,Male
Pleasure Plus,23,Engineer,TRUE,(565)-409-3092,01-01-2019,62955,Blue,Top Box,Dealership,Cash,Other
Maestro Edge 125,41,Designer,FALSE,(641)-745-4401,08-11-2016,61577,Blue,Top Box,Dealership,Credit,Female
Xtreme,54,Engineer,TRUE,(334)-696-4157,01-11-2015,97231,Black,Top Box,Event,Credit,Female
Xtreme,36,Engineer,FALSE,(844)-613-5875,16-07-2022,55438,Blue,None,Event,Credit,Male
Glamour Xtec SV,57,Designer,TRUE,(912)-996-9158,07-02-2020,91711,Blue,Windshield,Event,Cash,Female
Super Splendor,25,Designer,FALSE,(971)-116-7277,17-06-2022,50429,White,Windshield,Event,Credit,Male
Destini i3s,34,Designer,TRUE,(268)-888-1584,17-11-2022,54556,Red,Windshield,Event,Financing,Other
Glamour 125,36,Engineer,FALSE,(564)-341-4878,09-04-2018,62218,Black,None,Dealership,Cash,Other
Achiever,46,Manager,FALSE,(695)-222-5387,18-06-2016,93621,White,None,Dealership,Credit,Other
Passion Pro 125,56,Manager,FALSE,(661)-652-1500,12-06-2020,74626,Black,Handlebar Grips,Event,Cash,Other
Pleasure,50,Designer,FALSE,(583)-489-8166,12-10-2021,66191,Black,Windshield,Event,Cash,Male
Destini 110,48,Manager,FALSE,(330)-227-5733,01-07-2023,58396,White,None,Dealership,Cash,Female
Achiever,25,Engineer,TRUE,(136)-626-3374,17-10-2020,93963,Red,None,Dealership,Cash,Female
Maestro,42,Designer,TRUE,(591)-189-7840,09-01-2023,89466,Red,Top Box,Event,Credit,Other
Glamour SV,52,Manager,FALSE,(739)-193-1086,02-02-2021,94120,Black,None,Dealership,Financing,Male
Passion Pro,48,Student,TRUE,(179)-814-1799,04-04-2021,75624,Red,Handlebar Grips,Dealership,Credit,Female
Xpulse 300,24,Engineer,TRUE,(234)-681-5938,18-06-2015,80649,Red,Top Box,Event,Financing,Female
Super Splendor,54,Manager,TRUE,(309)-986-2553,11-07-2017,73733,White,None,Dealership,Financing,Other
Glamour Xtec,28,Doctor,FALSE,(755)-487-6422,21-03-2023,93305,Black,None,Event,Credit,Other
Xtreme,26,Teacher,TRUE,(808)-309-7972,18-07-2021,64725,White,None,Dealership,Cash,Male
Maestro Edge 110,40,Doctor,FALSE,(238)-969-5587,25-02-2019,72015,Blue,None,Event,Financing,Female
Pleasure Plus,55,Engineer,FALSE,(566)-234-1299,16-11-2018,78073,Blue,None,Online,Cash,Other

